"id","idade","sexo","dependentes","escolaridade","estado_civil","salario_anual","tipo_cartao","meses_de_relacionamento","qtd_produtos","iteracoes_12m","meses_inativo_12m","limite_credito","valor_transacoes_12m","qtd_transacoes_12m"
"784,725,333.00","41.00","M","3.00","ensino medio","casado","$40K - $60K","blue","33.00","4.00","1.00","2.00","4,470.45","931.04","18.00"
"811,604,133.00","47.00","F","4.00","na","solteiro","menos que $40K","blue","36.00","3.00","2.00","3.00","2,492.08","1,126.97","23.00"
"789,124,683.00","54.00","M","2.00","na","casado","$80K - $120K","blue","42.00","4.00","3.00","2.00","12,217.38","1,110.07","21.00"
"771,071,958.00","41.00","F","3.00","mestrado","solteiro","menos que $40K","blue","28.00","6.00","2.00","1.00","7,768.43","1,052.00","22.00"
"720,466,383.00","59.00","M","1.00","ensino medio","na","$40K - $60K","blue","46.00","4.00","2.00","1.00","14,784.12","1,197.92","23.00"
"804,424,383.00","63.00","M","1.00","na","casado","$60K - $80K","blue","56.00","3.00","2.00","3.00","10,215.26","1,904.01","40.00"
"718,813,833.00","44.00","F","3.00","sem educacao formal","solteiro","na","blue","34.00","5.00","2.00","2.00","10,100.66","1,052.46","18.00"
"806,624,208.00","47.00","M","4.00","ensino medio","casado","$40K - $60K","blue","42.00","6.00","0.00","0.00","4,785.24","1,045.67","38.00"
"778,348,233.00","53.00","M","3.00","na","casado","$80K - $120K","blue","33.00","3.00","3.00","2.00","2,753.96","1,038.80","25.00"
"712,991,808.00","53.00","M","2.00","sem educacao formal","casado","$60K - $80K","blue","48.00","2.00","1.00","5.00","2,451.40","1,596.34","26.00"
"709,029,408.00","41.00","M","4.00","mestrado","casado","$60K - $80K","blue","36.00","4.00","2.00","1.00","8,923.23","1,589.11","24.00"
"788,658,483.00","53.00","F","2.00","graduacao","casado","menos que $40K","blue","38.00","5.00","3.00","2.00","2,650.38","1,411.63","28.00"
"787,937,058.00","58.00","M","0.00","mestrado","casado","$80K - $120K","blue","49.00","6.00","2.00","2.00","12,555.16","1,291.68","24.00"
"715,318,008.00","55.00","F","1.00","graduacao","solteiro","menos que $40K","blue","36.00","4.00","1.00","2.00","3,520.61","1,407.71","43.00"
"713,962,233.00","55.00","F","3.00","mestrado","casado","menos que $40K","blue","36.00","6.00","3.00","2.00","3,035.78","1,877.05","37.00"
"785,432,733.00","42.00","F","4.00","ensino medio","casado","menos que $40K","gold","36.00","2.00","3.00","3.00","15,433.35","966.80","22.00"
"715,190,283.00","57.00","F","1.00","mestrado","na","$40K - $60K","blue","49.00","3.00","2.00","3.00","3,672.19","1,464.46","28.00"
"708,300,483.00","66.00","F","0.00","doutorado","casado","na","blue","56.00","5.00","3.00","4.00","7,882.47","704.78","16.00"
"827,111,283.00","45.00","M","3.00","mestrado","solteiro","$80K - $120K","blue","41.00","2.00","2.00","2.00","32,426.29","1,109.51","28.00"
"758,551,608.00","51.00","M","2.00","na","casado","$40K - $60K","blue","44.00","4.00","0.00","1.00","6,205.02","1,347.47","28.00"
"773,146,383.00","50.00","F","1.00","graduacao","solteiro","$40K - $60K","silver","43.00","3.00","3.00","2.00","17,304.68","1,756.00","33.00"
"778,493,808.00","49.00","M","3.00","ensino medio","casado","$60K - $80K","blue","37.00","5.00","1.00","2.00","3,906.40","1,756.49","32.00"
"720,572,508.00","38.00","F","4.00","mestrado","solteiro","na","blue","28.00","2.00","3.00","3.00","9,830.13","1,042.80","23.00"
"712,661,433.00","49.00","M","4.00","sem educacao formal","solteiro","$80K - $120K","blue","30.00","3.00","3.00","2.00","34,516.07","1,444.77","28.00"
"789,172,683.00","56.00","M","2.00","doutorado","casado","$60K - $80K","blue","45.00","6.00","0.00","2.00","2,283.59","1,741.52","27.00"
"738,406,533.00","59.00","M","1.00","doutorado","casado","$40K - $60K","blue","52.00","3.00","2.00","2.00","2,548.58","1,719.18","27.00"
"799,723,908.00","46.00","M","3.00","ensino medio","casado","$80K - $120K","blue","40.00","4.00","3.00","3.00","19,458.61","1,217.71","27.00"
"771,490,833.00","52.00","M","1.00","graduacao","solteiro","$80K - $120K","blue","40.00","5.00","1.00","1.00","4,745.36","1,140.09","40.00"
"720,756,708.00","52.00","F","3.00","na","casado","menos que $40K","blue","41.00","6.00","2.00","3.00","2,622.45","1,878.14","30.00"
"779,471,883.00","54.00","F","1.00","mestrado","casado","menos que $40K","blue","40.00","2.00","1.00","3.00","1,438.08","705.59","19.00"
"711,525,033.00","66.00","F","0.00","ensino medio","casado","menos que $40K","blue","54.00","3.00","2.00","4.00","3,171.17","1,946.81","38.00"
"712,813,458.00","49.00","M","2.00","na","casado","$120K +","blue","36.00","4.00","0.00","2.00","19,763.65","1,414.42","35.00"
"714,374,133.00","56.00","M","2.00","mestrado","casado","$120K +","blue","36.00","1.00","3.00","3.00","15,769.34","602.60","15.00"
"717,891,558.00","49.00","F","4.00","mestrado","na","menos que $40K","blue","36.00","6.00","2.00","4.00","3,298.68","1,052.40","32.00"
"716,632,758.00","49.00","F","3.00","mestrado","solteiro","menos que $40K","blue","36.00","2.00","0.00","2.00","2,802.32","1,295.77","40.00"
"768,563,658.00","56.00","M","2.00","sem educacao formal","casado","$40K - $60K","blue","50.00","4.00","3.00","2.00","4,458.72","1,424.23","29.00"
"711,427,458.00","44.00","F","5.00","mestrado","casado","na","blue","35.00","4.00","2.00","1.00","6,273.36","1,359.02","25.00"
"714,091,983.00","42.00","M","2.00","ensino medio","solteiro","$60K - $80K","blue","34.00","4.00","3.00","4.00","3,336.16","1,168.25","27.00"
"787,584,108.00","55.00","M","3.00","na","casado","$80K - $120K","blue","47.00","4.00","3.00","2.00","3,436.88","1,097.15","33.00"
"712,030,833.00","48.00","M","2.00","mestrado","casado","$60K - $80K","silver","35.00","2.00","4.00","4.00","34,516.60","691.10","15.00"
"711,481,533.00","39.00","M","1.00","ensino medio","divorciado","$60K - $80K","blue","33.00","5.00","3.00","3.00","5,926.84","1,316.35","28.00"
"710,082,708.00","44.00","M","4.00","doutorado","solteiro","$120K +","blue","32.00","2.00","2.00","4.00","23,957.43","1,276.73","26.00"
"708,155,733.00","53.00","M","2.00","ensino medio","solteiro","$120K +","blue","44.00","4.00","2.00","2.00","14,734.78","1,289.07","23.00"
"788,979,258.00","51.00","M","4.00","sem educacao formal","solteiro","$80K - $120K","silver","38.00","4.00","4.00","1.00","34,516.43","1,293.87","32.00"
"807,986,133.00","57.00","M","2.00","graduacao","casado","$60K - $80K","blue","52.00","5.00","3.00","3.00","6,585.00","1,353.02","35.00"
"788,730,933.00","44.00","F","2.00","sem educacao formal","solteiro","menos que $40K","blue","20.00","6.00","3.00","3.00","2,084.40","1,132.88","28.00"
"711,314,058.00","49.00","M","2.00","mestrado","casado","$60K - $80K","blue","32.00","2.00","2.00","2.00","1,687.32","1,670.43","17.00"
"717,975,333.00","50.00","M","2.00","doutorado","casado","$80K - $120K","blue","38.00","6.00","2.00","2.00","25,300.81","837.74","15.00"
"715,971,108.00","51.00","M","4.00","mestrado","solteiro","$120K +","blue","42.00","3.00","3.00","2.00","34,516.09","1,550.71","41.00"
"720,096,558.00","55.00","F","2.00","mestrado","casado","menos que $40K","blue","42.00","5.00","3.00","3.00","2,216.16","1,540.51","36.00"
"719,580,033.00","54.00","M","1.00","mestrado","na","$60K - $80K","blue","43.00","4.00","3.00","2.00","2,910.05","1,256.06","21.00"
"820,582,308.00","42.00","M","5.00","sem educacao formal","casado","$80K - $120K","blue","37.00","6.00","2.00","2.00","22,913.54","1,394.75","35.00"
"789,973,308.00","44.00","M","1.00","graduacao","solteiro","$60K - $80K","blue","35.00","3.00","3.00","3.00","24,312.55","1,341.81","24.00"
"712,876,233.00","53.00","M","2.00","mestrado","solteiro","$80K - $120K","blue","36.00","5.00","2.00","3.00","5,272.70","1,289.65","33.00"
"804,595,158.00","44.00","F","4.00","mestrado","solteiro","menos que $40K","blue","36.00","6.00","2.00","4.00","7,000.35","1,112.55","23.00"
"714,826,758.00","37.00","F","3.00","sem educacao formal","solteiro","menos que $40K","blue","29.00","4.00","2.00","4.00","7,038.51","2,339.31","57.00"
"779,058,108.00","49.00","M","3.00","mestrado","divorciado","$60K - $80K","blue","30.00","6.00","2.00","1.00","2,536.00","1,468.07","23.00"
"710,790,258.00","47.00","M","2.00","mestrado","casado","$80K - $120K","blue","38.00","6.00","2.00","3.00","28,904.11","1,334.19","35.00"
"715,623,483.00","47.00","M","3.00","mestrado","casado","$60K - $80K","blue","37.00","4.00","0.00","4.00","8,567.99","1,457.17","41.00"
"715,156,383.00","44.00","M","1.00","na","na","$120K +","blue","36.00","6.00","2.00","2.00","34,516.95","1,603.72","29.00"
"711,013,983.00","55.00","F","4.00","na","casado","$40K - $60K","blue","45.00","2.00","3.00","4.00","2,158.57","615.02","12.00"
"755,420,433.00","59.00","F","1.00","mestrado","casado","na","blue","52.00","2.00","3.00","3.00","10,133.91","1,068.99","20.00"
"794,543,958.00","53.00","M","1.00","mestrado","divorciado","$80K - $120K","blue","35.00","5.00","2.00","4.00","34,516.40","1,590.14","27.00"
"716,396,358.00","52.00","M","2.00","mestrado","casado","$60K - $80K","blue","47.00","5.00","0.00","3.00","3,085.37","1,531.13","35.00"
"715,398,033.00","53.00","M","2.00","ensino medio","solteiro","$120K +","blue","35.00","4.00","1.00","2.00","19,040.89","1,212.09","31.00"
"711,743,883.00","43.00","F","3.00","sem educacao formal","solteiro","menos que $40K","blue","35.00","5.00","3.00","2.00","4,026.73","1,237.00","32.00"
"719,720,058.00","44.00","M","3.00","ensino medio","solteiro","$60K - $80K","blue","31.00","4.00","1.00","3.00","12,756.68","1,413.28","14.00"
"778,992,108.00","57.00","M","2.00","na","casado","$120K +","blue","45.00","5.00","3.00","3.00","5,266.90","1,516.81","29.00"
"717,539,808.00","51.00","F","2.00","ensino medio","solteiro","menos que $40K","blue","36.00","3.00","2.00","2.00","9,930.94","1,276.14","21.00"
"714,070,758.00","49.00","M","4.00","ensino medio","solteiro","$80K - $120K","blue","38.00","4.00","0.00","3.00","31,302.28","1,564.29","35.00"
"714,107,958.00","45.00","M","1.00","mestrado","solteiro","$40K - $60K","blue","36.00","4.00","3.00","4.00","6,576.08","1,465.89","34.00"
"789,140,283.00","53.00","M","0.00","mestrado","solteiro","$80K - $120K","blue","42.00","5.00","1.00","4.00","2,664.65","1,286.10","29.00"
"715,550,508.00","45.00","F","3.00","na","casado","na","blue","28.00","5.00","2.00","1.00","2,535.81","1,312.66","20.00"
"719,712,633.00","64.00","M","1.00","mestrado","casado","menos que $40K","blue","52.00","6.00","3.00","4.00","1,709.75","1,673.96","32.00"
"772,629,333.00","45.00","M","3.00","mestrado","casado","$40K - $60K","blue","35.00","5.00","2.00","4.00","3,454.88","1,313.57","30.00"
"720,336,708.00","53.00","M","3.00","doutorado","casado","$40K - $60K","blue","35.00","5.00","2.00","3.00","3,789.07","1,609.80","42.00"
"802,013,583.00","56.00","M","3.00","graduacao","casado","$120K +","blue","50.00","3.00","0.00","2.00","9,689.42","1,158.65","19.00"
"711,887,583.00","47.00","M","2.00","na","casado","$80K - $120K","blue","37.00","2.00","3.00","3.00","5,449.10","836.55","18.00"
"714,778,833.00","49.00","F","3.00","graduacao","solteiro","na","blue","43.00","4.00","0.00","4.00","23,032.31","1,289.53","22.00"
"713,843,283.00","41.00","F","3.00","na","casado","na","silver","34.00","5.00","3.00","3.00","34,516.81","1,487.10","26.00"
"779,155,158.00","53.00","M","3.00","mestrado","casado","$120K +","blue","34.00","6.00","2.00","2.00","2,940.23","1,259.60","33.00"
"721,091,583.00","44.00","F","2.00","mestrado","solteiro","menos que $40K","blue","32.00","3.00","3.00","3.00","3,031.74","1,298.42","15.00"
"713,572,683.00","44.00","M","3.00","ensino medio","na","$60K - $80K","blue","25.00","3.00","0.00","3.00","1,862.88","1,226.76","34.00"
"716,657,058.00","43.00","F","4.00","doutorado","casado","menos que $40K","blue","33.00","2.00","3.00","3.00","8,358.36","1,566.92","37.00"
"779,509,983.00","53.00","M","2.00","doutorado","solteiro","$120K +","blue","36.00","6.00","2.00","1.00","34,516.70","1,022.13","21.00"
"717,929,133.00","44.00","M","1.00","sem educacao formal","casado","$60K - $80K","blue","36.00","5.00","3.00","2.00","14,450.88","1,235.89","30.00"
"808,284,783.00","62.00","F","1.00","na","casado","menos que $40K","blue","56.00","6.00","0.00","0.00","1,438.56","1,951.32","44.00"
"708,476,808.00","54.00","M","4.00","na","divorciado","$120K +","blue","36.00","6.00","2.00","3.00","33,791.17","1,047.44","31.00"
"710,916,408.00","57.00","M","4.00","mestrado","casado","$60K - $80K","blue","39.00","4.00","0.00","3.00","8,466.12","1,342.04","32.00"
"708,492,558.00","42.00","M","3.00","na","casado","$60K - $80K","blue","36.00","5.00","3.00","3.00","15,088.39","1,107.18","21.00"
"799,825,758.00","42.00","M","4.00","ensino medio","divorciado","$60K - $80K","blue","36.00","5.00","2.00","1.00","3,263.41","1,251.05","35.00"
"718,619,883.00","54.00","F","0.00","sem educacao formal","casado","menos que $40K","blue","36.00","2.00","2.00","2.00","1,494.38","1,305.99","24.00"
"711,844,758.00","48.00","M","3.00","mestrado","solteiro","$80K - $120K","blue","35.00","6.00","0.00","1.00","13,551.14","1,388.92","37.00"
"714,798,783.00","49.00","M","1.00","mestrado","solteiro","$80K - $120K","blue","36.00","6.00","2.00","2.00","18,886.97","1,235.27","18.00"
"826,762,908.00","52.00","M","3.00","ensino medio","na","$80K - $120K","blue","48.00","3.00","0.00","2.00","11,976.88","2,089.21","36.00"
"771,894,558.00","50.00","M","3.00","ensino medio","solteiro","$80K - $120K","blue","39.00","4.00","4.00","1.00","9,964.79","1,626.61","25.00"
"721,074,183.00","49.00","M","1.00","doutorado","casado","$60K - $80K","blue","36.00","4.00","3.00","6.00","24,159.65","1,111.64","24.00"
"715,259,583.00","53.00","F","2.00","ensino medio","casado","menos que $40K","blue","44.00","3.00","3.00","2.00","5,362.37","1,553.57","38.00"
"718,414,008.00","50.00","M","2.00","mestrado","solteiro","$120K +","blue","36.00","3.00","2.00","2.00","34,516.18","1,064.06","13.00"
"719,666,283.00","55.00","F","1.00","doutorado","casado","menos que $40K","blue","36.00","4.00","0.00","1.00","3,174.61","1,243.37","29.00"
"714,877,233.00","53.00","M","1.00","ensino medio","casado","$80K - $120K","blue","47.00","3.00","2.00","2.00","12,262.61","1,659.27","38.00"
"785,387,883.00","47.00","F","3.00","ensino medio","solteiro","$40K - $60K","blue","41.00","4.00","3.00","3.00","3,788.86","1,594.63","47.00"
"771,075,258.00","55.00","M","2.00","graduacao","solteiro","$120K +","silver","42.00","2.00","2.00","3.00","34,516.86","1,268.11","42.00"
"711,318,033.00","47.00","M","3.00","mestrado","solteiro","$60K - $80K","blue","36.00","4.00","2.00","2.00","2,926.27","1,304.88","24.00"
"783,554,958.00","58.00","M","4.00","mestrado","solteiro","$120K +","blue","52.00","6.00","0.00","1.00","32,090.20","1,368.90","30.00"
"720,201,033.00","53.00","M","2.00","mestrado","casado","$80K - $120K","blue","41.00","3.00","2.00","3.00","11,669.07","720.82","23.00"
"718,039,683.00","52.00","M","2.00","ensino medio","solteiro","$40K - $60K","blue","45.00","3.00","2.00","1.00","13,532.53","1,521.78","29.00"
"710,806,083.00","50.00","F","1.00","sem educacao formal","na","menos que $40K","silver","36.00","4.00","2.00","2.00","11,888.15","1,137.25","30.00"
"714,752,208.00","42.00","F","1.00","mestrado","casado","menos que $40K","blue","36.00","5.00","2.00","1.00","2,393.25","978.80","16.00"
"822,063,408.00","43.00","M","4.00","na","casado","$40K - $60K","blue","39.00","5.00","2.00","1.00","6,111.13","1,221.48","16.00"
"714,490,308.00","57.00","M","4.00","mestrado","casado","$80K - $120K","blue","46.00","3.00","3.00","2.00","19,270.57","1,566.00","28.00"
"713,356,833.00","52.00","M","1.00","mestrado","casado","$80K - $120K","blue","43.00","3.00","4.00","1.00","3,710.96","1,578.98","34.00"
"711,402,333.00","47.00","M","2.00","doutorado","solteiro","menos que $40K","blue","37.00","2.00","3.00","1.00","3,235.89","1,493.12","32.00"
"708,296,883.00","44.00","F","3.00","mestrado","solteiro","$40K - $60K","blue","38.00","3.00","0.00","1.00","11,749.97","1,178.37","27.00"
"719,154,483.00","53.00","M","2.00","ensino medio","divorciado","$60K - $80K","blue","36.00","5.00","2.00","3.00","7,753.70","991.23","26.00"
"717,721,458.00","45.00","M","4.00","graduacao","divorciado","$60K - $80K","blue","40.00","5.00","0.00","1.00","10,408.70","2,560.79","42.00"
"711,112,683.00","63.00","F","1.00","graduacao","casado","na","blue","36.00","6.00","3.00","2.00","3,967.48","1,657.84","29.00"
"715,674,483.00","39.00","F","2.00","doutorado","solteiro","menos que $40K","blue","27.00","4.00","2.00","2.00","6,205.29","1,204.63","19.00"
"789,322,833.00","48.00","F","5.00","ensino medio","casado","menos que $40K","blue","38.00","1.00","3.00","3.00","8,025.36","673.64","18.00"
"789,968,058.00","51.00","M","1.00","na","solteiro","$120K +","blue","42.00","6.00","3.00","2.00","9,036.63","1,131.83","18.00"
"709,919,283.00","54.00","M","4.00","mestrado","casado","$80K - $120K","blue","34.00","2.00","2.00","3.00","14,926.65","1,576.74","25.00"
"718,744,008.00","59.00","F","1.00","mestrado","solteiro","menos que $40K","blue","36.00","3.00","3.00","2.00","6,335.10","1,217.14","20.00"
"767,712,558.00","59.00","M","1.00","graduacao","solteiro","$60K - $80K","blue","53.00","2.00","3.00","3.00","14,979.44","530.36","10.00"
"712,950,783.00","48.00","F","4.00","sem educacao formal","casado","menos que $40K","blue","38.00","3.00","3.00","2.00","2,732.31","739.82","16.00"
"716,104,983.00","41.00","F","2.00","mestrado","solteiro","menos que $40K","blue","32.00","6.00","2.00","3.00","2,250.44","1,617.31","31.00"
"818,839,983.00","55.00","M","2.00","mestrado","casado","$120K +","blue","50.00","3.00","0.00","2.00","10,916.64","1,592.13","34.00"
"772,288,758.00","47.00","F","4.00","mestrado","casado","na","blue","36.00","4.00","3.00","1.00","5,349.05","1,343.87","30.00"
"712,350,858.00","41.00","M","2.00","ensino medio","casado","$80K - $120K","blue","24.00","4.00","3.00","1.00","9,366.58","1,303.63","39.00"
"711,009,708.00","40.00","M","3.00","ensino medio","solteiro","$80K - $120K","blue","28.00","5.00","0.00","1.00","21,617.54","1,351.89","22.00"
"712,720,158.00","68.00","M","1.00","mestrado","casado","na","blue","56.00","5.00","3.00","2.00","13,860.22","1,910.36","32.00"
"712,215,258.00","50.00","F","1.00","mestrado","solteiro","$40K - $60K","silver","31.00","2.00","3.00","2.00","18,386.59","1,298.55","22.00"
"773,827,008.00","47.00","M","4.00","sem educacao formal","solteiro","$60K - $80K","blue","41.00","6.00","2.00","2.00","2,405.01","1,087.22","29.00"
"795,232,683.00","53.00","F","1.00","graduacao","casado","menos que $40K","blue","47.00","4.00","3.00","2.00","2,154.12","1,439.28","26.00"
"713,786,508.00","42.00","F","5.00","na","casado","$40K - $60K","blue","36.00","3.00","3.00","3.00","2,038.40","1,238.68","28.00"
"713,539,833.00","48.00","F","4.00","ensino medio","solteiro","$40K - $60K","blue","38.00","6.00","3.00","1.00","8,135.26","1,716.18","29.00"
"712,454,058.00","49.00","M","1.00","doutorado","casado","$120K +","blue","38.00","6.00","3.00","1.00","9,364.93","1,099.88","27.00"
"718,759,833.00","44.00","F","2.00","sem educacao formal","casado","na","silver","35.00","4.00","2.00","3.00","32,643.83","1,058.80","24.00"
"718,803,333.00","43.00","F","4.00","mestrado","divorciado","menos que $40K","blue","34.00","2.00","1.00","3.00","3,195.43","1,285.54","29.00"
"720,253,908.00","56.00","M","0.00","ensino medio","casado","$80K - $120K","blue","43.00","5.00","1.00","2.00","2,852.61","1,651.52","28.00"
"714,133,158.00","59.00","F","1.00","graduacao","solteiro","na","blue","36.00","2.00","3.00","3.00","4,224.05","1,152.50","31.00"
"713,187,033.00","46.00","M","1.00","sem educacao formal","casado","$60K - $80K","blue","36.00","3.00","2.00","2.00","20,459.84","1,767.95","38.00"
"714,791,208.00","47.00","F","4.00","na","divorciado","menos que $40K","blue","41.00","6.00","3.00","5.00","3,482.22","1,039.44","24.00"
"772,426,383.00","50.00","F","4.00","sem educacao formal","casado","$40K - $60K","blue","40.00","5.00","3.00","2.00","3,065.19","1,130.34","28.00"
"710,975,883.00","51.00","F","3.00","sem educacao formal","casado","menos que $40K","blue","43.00","3.00","2.00","1.00","2,185.80","1,645.23","30.00"
"714,264,408.00","47.00","F","3.00","sem educacao formal","casado","menos que $40K","blue","36.00","4.00","0.00","1.00","1,611.04","1,413.06","29.00"
"715,827,858.00","58.00","F","4.00","sem educacao formal","casado","menos que $40K","blue","47.00","3.00","3.00","3.00","2,822.92","1,218.42","23.00"
"713,741,358.00","46.00","M","5.00","mestrado","solteiro","$80K - $120K","blue","33.00","6.00","3.00","3.00","32,975.61","597.86","17.00"
"709,531,908.00","53.00","M","3.00","ensino medio","casado","$60K - $80K","blue","47.00","5.00","2.00","2.00","1,438.57","2,184.83","53.00"
"716,493,408.00","45.00","F","4.00","sem educacao formal","divorciado","na","blue","36.00","4.00","3.00","3.00","15,875.61","1,592.55","37.00"
"714,141,108.00","52.00","F","1.00","ensino medio","casado","menos que $40K","blue","45.00","6.00","3.00","3.00","6,703.28","1,388.72","28.00"
"708,953,883.00","53.00","M","2.00","na","casado","$80K - $120K","blue","36.00","2.00","1.00","2.00","3,212.38","757.70","20.00"
"712,608,783.00","50.00","M","2.00","ensino medio","casado","$80K - $120K","silver","45.00","3.00","3.00","1.00","34,516.22","1,504.44","34.00"
"820,353,558.00","41.00","F","3.00","ensino medio","casado","$40K - $60K","blue","36.00","4.00","2.00","1.00","9,797.65","1,503.16","34.00"
"714,964,758.00","45.00","F","5.00","mestrado","divorciado","$40K - $60K","blue","36.00","5.00","2.00","2.00","10,400.82","1,105.44","28.00"
"716,264,358.00","53.00","M","3.00","sem educacao formal","casado","$80K - $120K","blue","42.00","2.00","2.00","1.00","26,792.84","2,398.41","47.00"
"717,296,808.00","67.00","F","1.00","mestrado","casado","menos que $40K","blue","56.00","4.00","2.00","3.00","3,006.00","1,661.15","32.00"
"712,977,183.00","57.00","F","2.00","sem educacao formal","solteiro","$40K - $60K","silver","36.00","6.00","0.00","3.00","19,482.96","1,421.19","22.00"
"710,829,108.00","59.00","F","1.00","sem educacao formal","casado","$40K - $60K","blue","36.00","4.00","3.00","2.00","3,356.53","999.47","28.00"
"779,562,633.00","45.00","M","2.00","sem educacao formal","casado","$40K - $60K","blue","34.00","3.00","1.00","2.00","5,771.60","1,387.68","18.00"
"715,315,833.00","51.00","M","3.00","mestrado","casado","$80K - $120K","blue","36.00","6.00","3.00","2.00","11,106.73","1,243.58","24.00"
"815,500,983.00","59.00","F","1.00","sem educacao formal","casado","menos que $40K","blue","54.00","5.00","0.00","3.00","2,890.26","1,860.16","36.00"
"719,360,583.00","53.00","M","1.00","mestrado","casado","$60K - $80K","blue","45.00","6.00","2.00","2.00","3,380.75","1,502.84","25.00"
"709,701,558.00","47.00","M","3.00","mestrado","casado","$60K - $80K","blue","36.00","2.00","2.00","1.00","21,331.23","1,460.60","50.00"
"721,148,358.00","49.00","F","3.00","sem educacao formal","solteiro","na","blue","38.00","6.00","1.00","2.00","12,860.34","1,348.22","27.00"
"779,862,408.00","49.00","M","3.00","doutorado","solteiro","$80K - $120K","blue","33.00","3.00","0.00","1.00","6,278.72","1,087.07","33.00"
"812,627,208.00","60.00","F","0.00","graduacao","solteiro","menos que $40K","blue","55.00","5.00","3.00","1.00","1,439.00","1,226.43","33.00"
"711,033,408.00","50.00","F","2.00","ensino medio","casado","menos que $40K","blue","36.00","5.00","2.00","1.00","9,355.72","1,230.97","28.00"
"779,956,608.00","41.00","F","2.00","doutorado","casado","na","blue","31.00","6.00","3.00","1.00","20,758.33","1,555.04","32.00"
"780,376,683.00","57.00","M","1.00","mestrado","casado","$80K - $120K","blue","47.00","5.00","1.00","3.00","14,612.54","1,827.87","24.00"
"717,912,483.00","43.00","M","4.00","mestrado","na","$80K - $120K","blue","27.00","5.00","0.00","2.00","27,259.32","1,376.59","35.00"
"714,454,758.00","57.00","F","3.00","mestrado","casado","menos que $40K","blue","47.00","4.00","3.00","2.00","6,347.04","1,771.54","37.00"
"780,466,533.00","54.00","M","3.00","doutorado","casado","$120K +","blue","41.00","3.00","0.00","3.00","21,592.49","1,873.76","52.00"
"715,735,233.00","51.00","F","5.00","doutorado","casado","menos que $40K","blue","44.00","5.00","1.00","1.00","3,449.71","1,679.81","42.00"
