id,idade,sexo,dependentes,escolaridade,estado_civil,salario_anual,tipo_cartao,meses_de_relacionamento,qtd_produtos,iteracoes_12m,meses_inativo_12m,limite_credito,valor_transacoes_12m,qtd_transacoes_12m
54,49.00,M,2.00,na,casado,$120K +,blue,36.00,4.00,.00,2.00,"19,763.65","1,414.42",35.00
55,56.00,M,2.00,mestrado,casado,$120K +,blue,36.00,1.00,3.00,3.00,"15,769.34",602.60,15.00
56,49.00,F,4.00,mestrado,na,menos que $40K,blue,36.00,6.00,2.00,4.00,"3,298.68","1,052.40",32.00
57,49.00,F,3.00,mestrado,solteiro,menos que $40K,blue,36.00,2.00,.00,2.00,"2,802.32","1,295.77",40.00
58,56.00,M,2.00,sem educacao formal,casado,$40K - $60K,blue,50.00,4.00,3.00,2.00,"4,458.72","1,424.23",29.00
59,44.00,F,5.00,mestrado,casado,na,blue,35.00,4.00,2.00,1.00,"6,273.36","1,359.02",25.00
60,42.00,M,2.00,ensino medio,solteiro,$60K - $80K,blue,34.00,4.00,3.00,4.00,"3,336.16","1,168.25",27.00
61,55.00,M,3.00,na,casado,$80K - $120K,blue,47.00,4.00,3.00,2.00,"3,436.88","1,097.15",33.00
62,48.00,M,2.00,mestrado,casado,$60K - $80K,silver,35.00,2.00,4.00,4.00,"34,516.60",691.10,15.00
63,39.00,M,1.00,ensino medio,divorciado,$60K - $80K,blue,33.00,5.00,3.00,3.00,"5,926.84","1,316.35",28.00
64,44.00,M,4.00,doutorado,solteiro,$120K +,blue,32.00,2.00,2.00,4.00,"23,957.43","1,276.73",26.00
65,53.00,M,2.00,ensino medio,solteiro,$120K +,blue,44.00,4.00,2.00,2.00,"14,734.78","1,289.07",23.00
66,51.00,M,4.00,sem educacao formal,solteiro,$80K - $120K,silver,38.00,4.00,4.00,1.00,"34,516.43","1,293.87",32.00
67,57.00,M,2.00,graduacao,casado,$60K - $80K,blue,52.00,5.00,3.00,3.00,"6,585.00","1,353.02",35.00
68,44.00,F,2.00,sem educacao formal,solteiro,menos que $40K,blue,20.00,6.00,3.00,3.00,"2,084.40","1,132.88",28.00
69,49.00,M,2.00,mestrado,casado,$60K - $80K,blue,32.00,2.00,2.00,2.00,"1,687.32","1,670.43",17.00
70,50.00,M,2.00,doutorado,casado,$80K - $120K,blue,38.00,6.00,2.00,2.00,"25,300.81",837.74,15.00
71,51.00,M,4.00,mestrado,solteiro,$120K +,blue,42.00,3.00,3.00,2.00,"34,516.09","1,550.71",41.00
72,55.00,F,2.00,mestrado,casado,menos que $40K,blue,42.00,5.00,3.00,3.00,"2,216.16","1,540.51",36.00
73,54.00,M,1.00,mestrado,na,$60K - $80K,blue,43.00,4.00,3.00,2.00,"2,910.05","1,256.06",21.00
74,42.00,M,5.00,sem educacao formal,casado,$80K - $120K,blue,37.00,6.00,2.00,2.00,"22,913.54","1,394.75",35.00
75,44.00,M,1.00,graduacao,solteiro,$60K - $80K,blue,35.00,3.00,3.00,3.00,"24,312.55","1,341.81",24.00
76,53.00,M,2.00,mestrado,solteiro,$80K - $120K,blue,36.00,5.00,2.00,3.00,"5,272.70","1,289.65",33.00
77,44.00,F,4.00,mestrado,solteiro,menos que $40K,blue,36.00,6.00,2.00,4.00,"7,000.35","1,112.55",23.00
78,37.00,F,3.00,sem educacao formal,solteiro,menos que $40K,blue,29.00,4.00,2.00,4.00,"7,038.51","2,339.31",57.00
79,49.00,M,3.00,mestrado,divorciado,$60K - $80K,blue,30.00,6.00,2.00,1.00,"2,536.00","1,468.07",23.00
80,47.00,M,2.00,mestrado,casado,$80K - $120K,blue,38.00,6.00,2.00,3.00,"28,904.11","1,334.19",35.00
81,47.00,M,3.00,mestrado,casado,$60K - $80K,blue,37.00,4.00,.00,4.00,"8,567.99","1,457.17",41.00
82,44.00,M,1.00,na,na,$120K +,blue,36.00,6.00,2.00,2.00,"34,516.95","1,603.72",29.00
83,55.00,F,4.00,na,casado,$40K - $60K,blue,45.00,2.00,3.00,4.00,"2,158.57",615.02,12.00
84,59.00,F,1.00,mestrado,casado,na,blue,52.00,2.00,3.00,3.00,"10,133.91","1,068.99",20.00
85,53.00,M,1.00,mestrado,divorciado,$80K - $120K,blue,35.00,5.00,2.00,4.00,"34,516.40","1,590.14",27.00
86,52.00,M,2.00,mestrado,casado,$60K - $80K,blue,47.00,5.00,.00,3.00,"3,085.37","1,531.13",35.00
87,53.00,M,2.00,ensino medio,solteiro,$120K +,blue,35.00,4.00,1.00,2.00,"19,040.89","1,212.09",31.00
88,43.00,F,3.00,sem educacao formal,solteiro,menos que $40K,blue,35.00,5.00,3.00,2.00,"4,026.73","1,237.00",32.00
89,44.00,M,3.00,ensino medio,solteiro,$60K - $80K,blue,31.00,4.00,1.00,3.00,"12,756.68","1,413.28",14.00
90,57.00,M,2.00,na,casado,$120K +,blue,45.00,5.00,3.00,3.00,"5,266.90","1,516.81",29.00
91,51.00,F,2.00,ensino medio,solteiro,menos que $40K,blue,36.00,3.00,2.00,2.00,"9,930.94","1,276.14",21.00
92,49.00,M,4.00,ensino medio,solteiro,$80K - $120K,blue,38.00,4.00,.00,3.00,"31,302.28","1,564.29",35.00
93,45.00,M,1.00,mestrado,solteiro,$40K - $60K,blue,36.00,4.00,3.00,4.00,"6,576.08","1,465.89",34.00
94,53.00,M,.00,mestrado,solteiro,$80K - $120K,blue,42.00,5.00,1.00,4.00,"2,664.65","1,286.10",29.00
95,45.00,F,3.00,na,casado,na,blue,28.00,5.00,2.00,1.00,"2,535.81","1,312.66",20.00
96,64.00,M,1.00,mestrado,casado,menos que $40K,blue,52.00,6.00,3.00,4.00,"1,709.75","1,673.96",32.00
97,45.00,M,3.00,mestrado,casado,$40K - $60K,blue,35.00,5.00,2.00,4.00,"3,454.88","1,313.57",30.00
98,53.00,M,3.00,doutorado,casado,$40K - $60K,blue,35.00,5.00,2.00,3.00,"3,789.07","1,609.80",42.00
99,56.00,M,3.00,graduacao,casado,$120K +,blue,50.00,3.00,.00,2.00,"9,689.42","1,158.65",19.00
100,47.00,M,2.00,na,casado,$80K - $120K,blue,37.00,2.00,3.00,3.00,"5,449.10",836.55,18.00
101,49.00,F,3.00,graduacao,solteiro,na,blue,43.00,4.00,.00,4.00,"23,032.31","1,289.53",22.00
102,41.00,F,3.00,na,casado,na,silver,34.00,5.00,3.00,3.00,"34,516.81","1,487.10",26.00
103,53.00,M,3.00,mestrado,casado,$120K +,blue,34.00,6.00,2.00,2.00,"2,940.23","1,259.60",33.00
104,44.00,F,2.00,mestrado,solteiro,menos que $40K,blue,32.00,3.00,3.00,3.00,"3,031.74","1,298.42",15.00
105,44.00,M,3.00,ensino medio,na,$60K - $80K,blue,25.00,3.00,.00,3.00,"1,862.88","1,226.76",34.00
106,43.00,F,4.00,doutorado,casado,menos que $40K,blue,33.00,2.00,3.00,3.00,"8,358.36","1,566.92",37.00
107,53.00,M,2.00,doutorado,solteiro,$120K +,blue,36.00,6.00,2.00,1.00,"34,516.70","1,022.13",21.00
108,44.00,M,1.00,sem educacao formal,casado,$60K - $80K,blue,36.00,5.00,3.00,2.00,"14,450.88","1,235.89",30.00
109,62.00,F,1.00,na,casado,menos que $40K,blue,56.00,6.00,.00,.00,"1,438.56","1,951.32",44.00
110,54.00,M,4.00,na,divorciado,$120K +,blue,36.00,6.00,2.00,3.00,"33,791.17","1,047.44",31.00
111,57.00,M,4.00,mestrado,casado,$60K - $80K,blue,39.00,4.00,.00,3.00,"8,466.12","1,342.04",32.00
112,42.00,M,3.00,na,casado,$60K - $80K,blue,36.00,5.00,3.00,3.00,"15,088.39","1,107.18",21.00
113,42.00,M,4.00,ensino medio,divorciado,$60K - $80K,blue,36.00,5.00,2.00,1.00,"3,263.41","1,251.05",35.00
114,54.00,F,.00,sem educacao formal,casado,menos que $40K,blue,36.00,2.00,2.00,2.00,"1,494.38","1,305.99",24.00
115,48.00,M,3.00,mestrado,solteiro,$80K - $120K,blue,35.00,6.00,.00,1.00,"13,551.14","1,388.92",37.00
116,49.00,M,1.00,mestrado,solteiro,$80K - $120K,blue,36.00,6.00,2.00,2.00,"18,886.97","1,235.27",18.00
117,52.00,M,3.00,ensino medio,na,$80K - $120K,blue,48.00,3.00,.00,2.00,"11,976.88","2,089.21",36.00
118,50.00,M,3.00,ensino medio,solteiro,$80K - $120K,blue,39.00,4.00,4.00,1.00,"9,964.79","1,626.61",25.00
119,49.00,M,1.00,doutorado,casado,$60K - $80K,blue,36.00,4.00,3.00,6.00,"24,159.65","1,111.64",24.00
120,53.00,F,2.00,ensino medio,casado,menos que $40K,blue,44.00,3.00,3.00,2.00,"5,362.37","1,553.57",38.00
121,50.00,M,2.00,mestrado,solteiro,$120K +,blue,36.00,3.00,2.00,2.00,"34,516.18","1,064.06",13.00
122,55.00,F,1.00,doutorado,casado,menos que $40K,blue,36.00,4.00,.00,1.00,"3,174.61","1,243.37",29.00
123,53.00,M,1.00,ensino medio,casado,$80K - $120K,blue,47.00,3.00,2.00,2.00,"12,262.61","1,659.27",38.00
124,47.00,F,3.00,ensino medio,solteiro,$40K - $60K,blue,41.00,4.00,3.00,3.00,"3,788.86","1,594.63",47.00
125,55.00,M,2.00,graduacao,solteiro,$120K +,silver,42.00,2.00,2.00,3.00,"34,516.86","1,268.11",42.00
126,47.00,M,3.00,mestrado,solteiro,$60K - $80K,blue,36.00,4.00,2.00,2.00,"2,926.27","1,304.88",24.00
127,58.00,M,4.00,mestrado,solteiro,$120K +,blue,52.00,6.00,.00,1.00,"32,090.20","1,368.90",30.00
128,53.00,M,2.00,mestrado,casado,$80K - $120K,blue,41.00,3.00,2.00,3.00,"11,669.07",720.82,23.00
129,52.00,M,2.00,ensino medio,solteiro,$40K - $60K,blue,45.00,3.00,2.00,1.00,"13,532.53","1,521.78",29.00
130,50.00,F,1.00,sem educacao formal,na,menos que $40K,silver,36.00,4.00,2.00,2.00,"11,888.15","1,137.25",30.00
131,42.00,F,1.00,mestrado,casado,menos que $40K,blue,36.00,5.00,2.00,1.00,"2,393.25",978.80,16.00
132,43.00,M,4.00,na,casado,$40K - $60K,blue,39.00,5.00,2.00,1.00,"6,111.13","1,221.48",16.00
133,57.00,M,4.00,mestrado,casado,$80K - $120K,blue,46.00,3.00,3.00,2.00,"19,270.57","1,566.00",28.00
134,52.00,M,1.00,mestrado,casado,$80K - $120K,blue,43.00,3.00,4.00,1.00,"3,710.96","1,578.98",34.00
135,47.00,M,2.00,doutorado,solteiro,menos que $40K,blue,37.00,2.00,3.00,1.00,"3,235.89","1,493.12",32.00
136,44.00,F,3.00,mestrado,solteiro,$40K - $60K,blue,38.00,3.00,.00,1.00,"11,749.97","1,178.37",27.00
137,53.00,M,2.00,ensino medio,divorciado,$60K - $80K,blue,36.00,5.00,2.00,3.00,"7,753.70",991.23,26.00
138,45.00,M,4.00,graduacao,divorciado,$60K - $80K,blue,40.00,5.00,.00,1.00,"10,408.70","2,560.79",42.00
139,63.00,F,1.00,graduacao,casado,na,blue,36.00,6.00,3.00,2.00,"3,967.48","1,657.84",29.00
140,39.00,F,2.00,doutorado,solteiro,menos que $40K,blue,27.00,4.00,2.00,2.00,"6,205.29","1,204.63",19.00
141,48.00,F,5.00,ensino medio,casado,menos que $40K,blue,38.00,1.00,3.00,3.00,"8,025.36",673.64,18.00
142,51.00,M,1.00,na,solteiro,$120K +,blue,42.00,6.00,3.00,2.00,"9,036.63","1,131.83",18.00
143,54.00,M,4.00,mestrado,casado,$80K - $120K,blue,34.00,2.00,2.00,3.00,"14,926.65","1,576.74",25.00
144,59.00,F,1.00,mestrado,solteiro,menos que $40K,blue,36.00,3.00,3.00,2.00,"6,335.10","1,217.14",20.00
145,59.00,M,1.00,graduacao,solteiro,$60K - $80K,blue,53.00,2.00,3.00,3.00,"14,979.44",530.36,10.00
146,48.00,F,4.00,sem educacao formal,casado,menos que $40K,blue,38.00,3.00,3.00,2.00,"2,732.31",739.82,16.00
147,41.00,F,2.00,mestrado,solteiro,menos que $40K,blue,32.00,6.00,2.00,3.00,"2,250.44","1,617.31",31.00
148,55.00,M,2.00,mestrado,casado,$120K +,blue,50.00,3.00,.00,2.00,"10,916.64","1,592.13",34.00
149,47.00,F,4.00,mestrado,casado,na,blue,36.00,4.00,3.00,1.00,"5,349.05","1,343.87",30.00
150,41.00,M,2.00,ensino medio,casado,$80K - $120K,blue,24.00,4.00,3.00,1.00,"9,366.58","1,303.63",39.00
151,40.00,M,3.00,ensino medio,solteiro,$80K - $120K,blue,28.00,5.00,.00,1.00,"21,617.54","1,351.89",22.00
152,68.00,M,1.00,mestrado,casado,na,blue,56.00,5.00,3.00,2.00,"13,860.22","1,910.36",32.00
153,50.00,F,1.00,mestrado,solteiro,$40K - $60K,silver,31.00,2.00,3.00,2.00,"18,386.59","1,298.55",22.00
154,47.00,M,4.00,sem educacao formal,solteiro,$60K - $80K,blue,41.00,6.00,2.00,2.00,"2,405.01","1,087.22",29.00
155,53.00,F,1.00,graduacao,casado,menos que $40K,blue,47.00,4.00,3.00,2.00,"2,154.12","1,439.28",26.00
156,42.00,F,5.00,na,casado,$40K - $60K,blue,36.00,3.00,3.00,3.00,"2,038.40","1,238.68",28.00
157,48.00,F,4.00,ensino medio,solteiro,$40K - $60K,blue,38.00,6.00,3.00,1.00,"8,135.26","1,716.18",29.00
158,49.00,M,1.00,doutorado,casado,$120K +,blue,38.00,6.00,3.00,1.00,"9,364.93","1,099.88",27.00
159,44.00,F,2.00,sem educacao formal,casado,na,silver,35.00,4.00,2.00,3.00,"32,643.83","1,058.80",24.00
160,43.00,F,4.00,mestrado,divorciado,menos que $40K,blue,34.00,2.00,1.00,3.00,"3,195.43","1,285.54",29.00
161,56.00,M,.00,ensino medio,casado,$80K - $120K,blue,43.00,5.00,1.00,2.00,"2,852.61","1,651.52",28.00
162,59.00,F,1.00,graduacao,solteiro,na,blue,36.00,2.00,3.00,3.00,"4,224.05","1,152.50",31.00
163,46.00,M,1.00,sem educacao formal,casado,$60K - $80K,blue,36.00,3.00,2.00,2.00,"20,459.84","1,767.95",38.00
164,47.00,F,4.00,na,divorciado,menos que $40K,blue,41.00,6.00,3.00,5.00,"3,482.22","1,039.44",24.00
165,50.00,F,4.00,sem educacao formal,casado,$40K - $60K,blue,40.00,5.00,3.00,2.00,"3,065.19","1,130.34",28.00
166,51.00,F,3.00,sem educacao formal,casado,menos que $40K,blue,43.00,3.00,2.00,1.00,"2,185.80","1,645.23",30.00
167,47.00,F,3.00,sem educacao formal,casado,menos que $40K,blue,36.00,4.00,.00,1.00,"1,611.04","1,413.06",29.00
168,58.00,F,4.00,sem educacao formal,casado,menos que $40K,blue,47.00,3.00,3.00,3.00,"2,822.92","1,218.42",23.00
169,46.00,M,5.00,mestrado,solteiro,$80K - $120K,blue,33.00,6.00,3.00,3.00,"32,975.61",597.86,17.00
170,53.00,M,3.00,ensino medio,casado,$60K - $80K,blue,47.00,5.00,2.00,2.00,"1,438.57","2,184.83",53.00
171,45.00,F,4.00,sem educacao formal,divorciado,na,blue,36.00,4.00,3.00,3.00,"15,875.61","1,592.55",37.00
172,52.00,F,1.00,ensino medio,casado,menos que $40K,blue,45.00,6.00,3.00,3.00,"6,703.28","1,388.72",28.00
173,53.00,M,2.00,na,casado,$80K - $120K,blue,36.00,2.00,1.00,2.00,"3,212.38",757.70,20.00
174,50.00,M,2.00,ensino medio,casado,$80K - $120K,silver,45.00,3.00,3.00,1.00,"34,516.22","1,504.44",34.00
175,41.00,F,3.00,ensino medio,casado,$40K - $60K,blue,36.00,4.00,2.00,1.00,"9,797.65","1,503.16",34.00
176,45.00,F,5.00,mestrado,divorciado,$40K - $60K,blue,36.00,5.00,2.00,2.00,"10,400.82","1,105.44",28.00
177,53.00,M,3.00,sem educacao formal,casado,$80K - $120K,blue,42.00,2.00,2.00,1.00,"26,792.84","2,398.41",47.00
178,67.00,F,1.00,mestrado,casado,menos que $40K,blue,56.00,4.00,2.00,3.00,"3,006.00","1,661.15",32.00
179,57.00,F,2.00,sem educacao formal,solteiro,$40K - $60K,silver,36.00,6.00,.00,3.00,"19,482.96","1,421.19",22.00
180,59.00,F,1.00,sem educacao formal,casado,$40K - $60K,blue,36.00,4.00,3.00,2.00,"3,356.53",999.47,28.00
181,45.00,M,2.00,sem educacao formal,casado,$40K - $60K,blue,34.00,3.00,1.00,2.00,"5,771.60","1,387.68",18.00
182,51.00,M,3.00,mestrado,casado,$80K - $120K,blue,36.00,6.00,3.00,2.00,"11,106.73","1,243.58",24.00
183,59.00,F,1.00,sem educacao formal,casado,menos que $40K,blue,54.00,5.00,.00,3.00,"2,890.26","1,860.16",36.00
184,53.00,M,1.00,mestrado,casado,$60K - $80K,blue,45.00,6.00,2.00,2.00,"3,380.75","1,502.84",25.00
185,47.00,M,3.00,mestrado,casado,$60K - $80K,blue,36.00,2.00,2.00,1.00,"21,331.23","1,460.60",50.00
186,49.00,F,3.00,sem educacao formal,solteiro,na,blue,38.00,6.00,1.00,2.00,"12,860.34","1,348.22",27.00
187,49.00,M,3.00,doutorado,solteiro,$80K - $120K,blue,33.00,3.00,.00,1.00,"6,278.72","1,087.07",33.00
188,60.00,F,.00,graduacao,solteiro,menos que $40K,blue,55.00,5.00,3.00,1.00,"1,439.00","1,226.43",33.00
189,50.00,F,2.00,ensino medio,casado,menos que $40K,blue,36.00,5.00,2.00,1.00,"9,355.72","1,230.97",28.00
190,41.00,F,2.00,doutorado,casado,na,blue,31.00,6.00,3.00,1.00,"20,758.33","1,555.04",32.00
191,57.00,M,1.00,mestrado,casado,$80K - $120K,blue,47.00,5.00,1.00,3.00,"14,612.54","1,827.87",24.00
192,43.00,M,4.00,mestrado,na,$80K - $120K,blue,27.00,5.00,.00,2.00,"27,259.32","1,376.59",35.00
193,57.00,F,3.00,mestrado,casado,menos que $40K,blue,47.00,4.00,3.00,2.00,"6,347.04","1,771.54",37.00
194,54.00,M,3.00,doutorado,casado,$120K +,blue,41.00,3.00,.00,3.00,"21,592.49","1,873.76",52.00
195,51.00,F,5.00,doutorado,casado,menos que $40K,blue,44.00,5.00,1.00,1.00,"3,449.71","1,679.81",42.00
196,47.00,F,3.00,ensino medio,casado,menos que $40K,blue,34.00,2.00,2.00,1.00,"6,028.25","1,002.70",22.00
197,41.00,M,.00,ensino medio,na,$120K +,blue,36.00,3.00,3.00,2.00,"18,214.37","1,344.32",21.00
198,53.00,M,3.00,sem educacao formal,casado,$80K - $120K,blue,43.00,3.00,1.00,3.00,"16,393.47","1,461.96",42.00
199,68.00,M,.00,ensino medio,casado,menos que $40K,blue,52.00,1.00,2.00,3.00,"1,438.72",760.47,21.00
200,59.00,M,1.00,graduacao,casado,$60K - $80K,blue,36.00,4.00,2.00,1.00,"7,871.30","1,428.62",22.00
201,48.00,M,4.00,na,casado,$80K - $120K,blue,36.00,5.00,.00,3.00,"5,288.56","1,777.39",42.00
202,44.00,M,5.00,mestrado,casado,$60K - $80K,blue,32.00,4.00,3.00,5.00,"11,376.03","1,302.61",27.00
203,48.00,M,3.00,graduacao,casado,$80K - $120K,blue,41.00,4.00,3.00,5.00,"12,302.46","1,483.60",41.00
204,47.00,M,4.00,mestrado,casado,$60K - $80K,silver,33.00,3.00,1.00,2.00,"34,516.23","1,060.78",27.00
205,47.00,M,2.00,mestrado,casado,$60K - $80K,silver,32.00,4.00,2.00,2.00,"34,516.11","1,330.44",32.00
206,43.00,F,1.00,ensino medio,divorciado,menos que $40K,silver,35.00,3.00,2.00,2.00,"10,514.17","1,229.20",27.00
207,55.00,F,2.00,mestrado,casado,menos que $40K,blue,43.00,2.00,3.00,4.00,"1,438.49",886.93,27.00
208,59.00,M,2.00,doutorado,casado,$60K - $80K,blue,46.00,3.00,3.00,3.00,"1,438.61",844.25,24.00
209,63.00,M,1.00,mestrado,casado,$40K - $60K,blue,56.00,2.00,2.00,1.00,"2,619.50","1,450.42",37.00
210,58.00,M,2.00,graduacao,casado,$120K +,blue,53.00,2.00,.00,3.00,"24,407.22","2,311.68",48.00
211,53.00,F,2.00,ensino medio,casado,menos que $40K,blue,36.00,4.00,2.00,1.00,"2,377.87","1,378.54",26.00
212,59.00,M,.00,na,na,$80K - $120K,silver,40.00,3.00,3.00,2.00,"34,516.32","1,033.29",26.00
213,52.00,M,3.00,mestrado,casado,$120K +,blue,47.00,5.00,3.00,3.00,"11,086.88","1,523.79",40.00
214,48.00,M,3.00,ensino medio,solteiro,$60K - $80K,blue,36.00,4.00,2.00,2.00,"11,432.33","1,374.92",37.00
215,43.00,M,4.00,ensino medio,casado,$40K - $60K,blue,36.00,5.00,2.00,3.00,"13,258.87","1,080.19",21.00
216,48.00,M,2.00,graduacao,solteiro,menos que $40K,blue,36.00,3.00,3.00,2.00,"2,571.08","1,234.81",24.00
217,43.00,F,4.00,mestrado,solteiro,menos que $40K,blue,31.00,5.00,.00,2.00,"5,781.12","1,600.60",32.00
